time	V(v1)	V(v2)	V(vout)
0.000000000000000e+000	6.123234e-017	0.000000e+000	-9.724667e-017
2.857142890531708e-008	-8.975981e-005	8.975981e-005	-3.176476e-006
5.714285781063416e-008	-1.795196e-004	1.795196e-004	-1.345521e-006
8.571428671595124e-008	-2.692794e-004	2.692794e-004	5.492864e-006
1.142857156212683e-007	-3.590391e-004	3.590391e-004	1.733868e-005
1.428571445265854e-007	-4.487989e-004	4.487989e-004	3.419193e-005
1.714285734319025e-007	-5.385586e-004	5.385586e-004	5.605260e-005
2.000000023372195e-007	-6.283183e-004	6.283183e-004	8.292071e-005
4.000000046744390e-007	-1.256636e-003	1.256636e-003	5.426295e-004
6.181993748419604e-007	-1.942126e-003	1.942126e-003	1.641002e-003
9.361166066363156e-007	-2.940880e-003	2.940880e-003	4.221850e-003
1.327613886023744e-006	-4.170774e-003	4.170774e-003	8.164436e-003
1.763446339425392e-006	-5.539917e-003	5.539917e-003	1.277341e-002
2.264156736590303e-006	-7.112818e-003	7.112818e-003	1.791270e-002
7.157109097639295e-006	-2.251109e-002	2.251109e-002	6.715968e-002
1.205006145868829e-005	-3.785271e-002	3.785271e-002	1.162346e-001
1.694301381973728e-005	-5.313767e-002	5.313767e-002	1.651374e-001
2.183596618078627e-005	-6.836598e-002	6.836598e-002	2.138682e-001
2.672891854183526e-005	-8.353763e-002	8.353763e-002	2.624269e-001
3.162187090288425e-005	-9.865262e-002	9.865262e-002	3.108135e-001
3.651482326393323e-005	-1.137110e-001	1.137110e-001	3.590280e-001
4.697799290679038e-005	-1.457736e-001	1.457736e-001	4.616885e-001
5.744116254964753e-005	-1.768827e-001	1.768827e-001	5.613169e-001
6.790433219250468e-005	-2.070381e-001	2.070381e-001	6.579133e-001
7.836750183536183e-005	-2.362399e-001	2.362399e-001	7.514776e-001
8.883067147821898e-005	-2.644880e-001	2.644880e-001	8.420098e-001
9.929384112107614e-005	-2.917826e-001	2.917826e-001	9.295101e-001
1.097570107639333e-004	-3.181234e-001	3.181234e-001	1.013978e+000
1.271956268353619e-004	-3.592440e-001	3.592440e-001	1.145908e+000
1.446342429067905e-004	-3.951635e-001	3.951635e-001	1.261227e+000
1.620728589782190e-004	-4.258819e-001	4.258819e-001	1.359933e+000
1.795114750496476e-004	-4.513991e-001	4.513991e-001	1.442027e+000
1.969500911210762e-004	-4.717152e-001	4.717152e-001	1.507510e+000
2.143887071925048e-004	-4.868302e-001	4.868302e-001	1.556380e+000
2.318273232639334e-004	-4.967441e-001	4.967441e-001	1.588639e+000
2.520561179067905e-004	-4.992747e-001	4.992747e-001	1.597378e+000
2.722849125496477e-004	-4.943086e-001	4.943086e-001	1.582108e+000
2.925137071925049e-004	-4.818456e-001	4.818456e-001	1.542830e+000
3.127425018353620e-004	-4.618859e-001	4.618859e-001	1.479542e+000
3.329712964782192e-004	-4.344295e-001	4.344295e-001	1.392246e+000
3.532000911210764e-004	-3.994762e-001	3.994762e-001	1.280941e+000
3.734288857639335e-004	-3.570262e-001	3.570262e-001	1.145627e+000
3.845896000496478e-004	-3.312632e-001	3.312632e-001	1.063443e+000
3.957503143353621e-004	-3.042227e-001	3.042227e-001	9.771529e-001
4.069110286210764e-004	-2.759048e-001	2.759048e-001	8.867553e-001
4.180717429067907e-004	-2.463094e-001	2.463094e-001	7.922504e-001
4.292324571925050e-004	-2.154365e-001	2.154365e-001	6.936383e-001
4.403931714782193e-004	-1.832862e-001	1.832862e-001	5.909190e-001
4.515538857639336e-004	-1.498585e-001	1.498585e-001	4.840925e-001
4.578317875496479e-004	-1.308555e-001	1.308555e-001	4.233522e-001
4.641096893353621e-004	-1.117240e-001	1.117240e-001	3.621930e-001
4.703875911210764e-004	-9.246391e-002	9.246391e-002	3.006150e-001
4.766654929067907e-004	-7.307525e-002	7.307525e-002	2.386182e-001
