time	V(vout)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.142857156212683e-007	-5.491251e-007	7.180789e-005
2.285714312425366e-007	-2.100769e-005	1.436157e-004
3.428571468638050e-007	-6.137571e-005	2.154233e-004
4.571428624850733e-007	-1.216532e-004	2.872308e-004
5.714285781063416e-007	-2.018401e-004	3.590383e-004
6.857142937276099e-007	-3.019364e-004	4.308455e-004
8.000000093488779e-007	-4.219422e-004	5.026527e-004
1.571030742918801e-006	-1.366752e-003	9.870917e-004
5.819274225026690e-006	-7.299030e-003	3.660074e-003
1.006751770713458e-005	-1.321732e-002	6.325783e-003
1.431576118924247e-005	-1.912163e-002	8.984218e-003
1.856400467135036e-005	-2.501195e-002	1.163538e-002
2.281224815345825e-005	-3.088829e-002	1.427927e-002
2.706049163556613e-005	-3.675064e-002	1.691588e-002
3.130873511767402e-005	-4.259900e-002	1.954523e-002
4.177190476053116e-005	-5.697670e-002	2.601104e-002
5.223507440338831e-005	-7.096218e-002	3.229884e-002
6.269824404624547e-005	-8.455545e-002	3.840861e-002
7.316141368910261e-005	-9.775651e-002	4.434037e-002
8.362458333195976e-005	-1.105654e-001	5.009410e-002
9.408775297481692e-005	-1.229820e-001	5.566982e-002
1.045509226176740e-004	-1.350064e-001	6.106751e-002
1.212919940462455e-004	-1.531457e-001	6.920538e-002
1.380330654748170e-004	-1.692155e-001	7.640968e-002
1.547741369033884e-004	-1.832161e-001	8.268040e-002
1.715152083319598e-004	-1.951473e-001	8.801755e-002
1.882562797605313e-004	-2.050092e-001	9.242112e-002
2.049973511891027e-004	-2.128018e-001	9.589111e-002
2.217384226176741e-004	-2.185250e-001	9.842753e-002
2.426647619033884e-004	-2.216213e-001	9.976978e-002
2.635911011891028e-004	-2.210991e-001	9.948505e-002
2.845174404748171e-004	-2.169583e-001	9.757334e-002
3.054437797605314e-004	-2.091989e-001	9.403465e-002
3.263701190462457e-004	-1.978209e-001	8.886898e-002
3.472964583319600e-004	-1.828243e-001	8.207633e-002
3.682227976176743e-004	-1.642091e-001	7.365670e-002
3.800810565462457e-004	-1.524259e-001	6.833267e-002
3.919393154748171e-004	-1.399803e-001	6.271230e-002
4.037975744033886e-004	-1.268725e-001	5.679559e-002
4.156558333319600e-004	-1.131025e-001	5.058255e-002
4.275140922605315e-004	-9.867014e-002	4.407317e-002
4.393723511891029e-004	-8.357553e-002	3.726746e-002
4.512306101176743e-004	-6.781866e-002	3.016541e-002
4.575085119033886e-004	-5.938944e-002	2.636709e-002
4.637864136891029e-004	-5.090111e-002	2.254274e-002
4.700643154748172e-004	-4.235367e-002	1.869236e-002
4.763422172605315e-004	-3.374712e-002	1.481596e-002
4.826201190462458e-004	-2.508146e-002	1.091353e-002
4.888980208319601e-004	-1.635670e-002	6.985074e-003
4.951759226176744e-004	-7.572830e-003	3.030593e-003
4.993611904748173e-004	-1.721872e-003	3.968369e-004
5.035464583319601e-004	4.120195e-003	-2.232657e-003
5.077317261891030e-004	9.953373e-003	-4.857888e-003
5.119169940462458e-004	1.577766e-002	-7.478857e-003
5.161022619033887e-004	2.159306e-002	-1.009556e-002
5.202875297605316e-004	2.739956e-002	-1.270801e-002
5.244727976176744e-004	3.319718e-002	-1.531619e-002
5.342384226176744e-004	4.672601e-002	-2.140135e-002
5.440040476176744e-004	5.995778e-002	-2.735148e-002
5.537696726176744e-004	7.289248e-002	-3.316657e-002
5.635352976176744e-004	8.553012e-002	-3.884663e-002
5.733009226176744e-004	9.787071e-002	-4.439165e-002
5.830665476176744e-004	1.099142e-001	-4.980165e-002
5.928321726176745e-004	1.216607e-001	-5.507660e-002
6.081781547605316e-004	1.393096e-001	-6.299840e-002
6.235241369033888e-004	1.553366e-001	-7.018809e-002
6.388701190462459e-004	1.697418e-001	-7.664567e-002
6.542161011891031e-004	1.825252e-001	-8.237114e-002
6.695620833319602e-004	1.936867e-001	-8.736449e-002
6.849080654748174e-004	2.032264e-001	-9.162573e-002
7.002540476176745e-004	2.111442e-001	-9.515486e-002
7.232730208319603e-004	2.186961e-001	-9.849818e-002
7.462919940462460e-004	2.217945e-001	-9.983840e-002
7.693109672605318e-004	2.204393e-001	-9.917551e-002
7.923299404748175e-004	2.146306e-001	-9.650953e-002
8.153489136891033e-004	2.043683e-001	-9.184044e-002
8.383678869033890e-004	1.896526e-001	-8.516825e-002
8.613868601176747e-004	1.704833e-001	-7.649296e-002
8.732451190462461e-004	1.592235e-001	-7.140370e-002
8.851033779748176e-004	1.472578e-001	-6.599841e-002
